cano_smiles,gene_name,stand_value
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,CHUK,5.4
C1C[C@H](CN1)Oc2cncc(\C=C\c3ccncc3)c2,CHUK,5.8
CC1(C)CC(=O)C2=C(C1)Nc3cc(Cl)ccc3S2,CHUK,5.4
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(cc5)C(=O)O,CHUK,5.4
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CC[C@@H](N)C4,CHUK,5.4
CCOc1ccccc1\C=N\NC(=O)c2nnn(c2N3CCCC3)c4nonc4N,CHUK,5.4
CC[C@@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,CHUK,5.4
CN(CCCNC(=O)Nc1cc(cc(c1)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)CCCNC(=O)Nc2cc(cc(c2)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C,CHUK,5.4
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,CHUK,5.4
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,CHUK,5.4
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,CHUK,5.4
CN1CC[C@H]1COc2cncc(CCc3ccncc3)c2,CHUK,5.4
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,CHUK,5.4
CN[C@H]1C[C@@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHUK,7.3
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26,CHUK,5.4
COCc1nnn(c1C(=O)N\N=C(/C)\c2ccc(O)cc2O)c3nonc3N,CHUK,5.5
COc1cc(Nc2ncnc3ccc(cc23)c4ccc(CN5C[C@@H]6C(CO)[C@@H]6C5)cc4)ccc1Oc7ccccc7,CHUK,5.4
COc1cc(\C=C(/C#N)\c2n[nH]c(N)c2C#N)ccc1O,CHUK,5.4
COc1cc(\C=C(/C#N)\c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,CHUK,5.4
COc1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)c(Br)cc1O,CHUK,5.4
COc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)ccc1O,CHUK,5.4
COc1ccc(Nc2nccc(NC3=C(N[C@H](C)C(C)(C)C)C(=O)C3=O)n2)cc1OC,CHUK,5.4
COc1ccc(\C=C/2\C(=O)ON=C2c3ccc(Br)cc3)cc1OC,CHUK,5.4
CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,CHUK,5.4
C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2,CHUK,5.5
C[C@@H](NC1=C(N(C(=O)C)c2ccncc2)C(=O)C1=O)C(C)(C)C,CHUK,5.4
C[C@@H](NC1=C(Nc2ccnc(Nc3cccc(C)c3)n2)C(=O)C1=O)C(C)(C)C,CHUK,5.4
C[C@@H](NC1=C(Nc2ccncc2)C(=O)C1=O)C(C)(C)C,CHUK,5.4
C[C@H](NC1=C(Nc2ccncc2)C(=O)C1=O)C3CCCCC3,CHUK,5.4
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3cncc(C)c23,CHUK,5.4
C\C(=N\NC(=N)N)\c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(cc(c2)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)cc(c1)\C(=N\NC(=N)N)\C,CHUK,6.3
C\C(=N\NC(=N)N)\c1cc(NC(=O)c2cccc(c2)C(=O)Nc3cc(cc(c3)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)cc(c1)\C(=N\NC(=N)N)\C,CHUK,6.3
Cc1[nH]c(\C=C\2/C(=O)Nc3ccccc23)c(C)c1CCC(=O)O,CHUK,5.7
Cc1c(O)ccc2\C(=N/NC(=O)Cc3cccc4ccccc34)\CCCc12,CHUK,5.4
Cc1c(c2cccc(OCc3ccccc3)c2)c4c(N)ncnc4n1[C@@H]5CC[C@@H](CC5)N6CCCC6,CHUK,5.4
Cc1c(c2cccc(OCc3ccccc3)c2)c4c(N)ncnc4n1[C@@H]5C[C@@H](CN6CCCC6)C5,CHUK,5.4
Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1,CHUK,5.4
Cc1cc(OC[C@@H]2CC[C@@H](C2)C(=O)O)c(NC(=O)Nc3cnc(cn3)C#N)cc1Cl,CHUK,5.4
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCOCC5,CHUK,5.4
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3,CHUK,6.5
Clc1ccc(C2CC3=C(C(=O)C2)C(=O)c4ccc(Cl)cc4N3)c(Cl)c1,CHUK,5.4
NCCCOc1cncc(\C=C\c2ccncc2)c1,CHUK,5.4
NCCOc1cncc(\C=C\c2ccncc2)c1,CHUK,5.9
N[C@@H](COCc1ccccc1)COc2cncc(\C=C\c3ccncc3)c2,CHUK,5.4
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc3cncc(\C=C\c4ccncc4)c3,CHUK,6.2
N[C@@H](Cc1cccc2ccccc12)C(=O)Nc3cncc(\C=C\c4ccncc4)c3,CHUK,5.4
N[C@H](COc1cc(\C=C\c2ccncc2)cnc1Cl)Cc3c[nH]c4ccccc34,CHUK,5.4
N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34,CHUK,6.2
N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc3ccccc3,CHUK,5.8
N[C@H](COc1cncc(c1)c2cc3ccncc3s2)Cc4c[nH]c5ccccc45,CHUK,5.4
N[C@H](COc1cncc(c1)c2cc3cnccc3s2)Cc4c[nH]c5ccccc45,CHUK,5.8
N[C@H](COc1cncc(c1)c2ccc(F)cc2)Cc3c[nH]c4ccccc34,CHUK,5.4
N[C@H](COc1cncc(c1)c2ccc(N)c(c2)C(=O)c3cccc(Cl)c3)Cc4c[nH]c5ccccc45,CHUK,5.4
N[C@H](COc1cncc(c1)c2ccc(N)c(c2)C(=O)c3ccccc3F)Cc4c[nH]c5ccccc45,CHUK,6
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,CHUK,6.4
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45,CHUK,5.4
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Oc3c2)Cc4c[nH]c5ccccc45,CHUK,5.4
Nc1ncnc2c1c(cn2[C@@H]3CC[C@H](CC3)N4CCCC4)c5cccc(OCc6ccccc6)c5,CHUK,5.4
Nc1nonc1n2nnc(C(=O)N\N=C\c3cccs3)c2c4ccccc4,CHUK,5.4
O=C1NCCc2[nH]c(cc12)c3ccnc(\C=C\c4ccccc4)c3,CHUK,6.9
OC[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2)c3ccncc3,CHUK,5.4
OC[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2F)c3ccncc3,CHUK,5.4
