SMILES,Name,SMILESCore,SMILESR1,SMILESR10,SMILESR2,SMILESR3,SMILESR4,SMILESR5,SMILESR6,SMILESR7,SMILESR8,SMILESR9
Nc1ncc(-c2cc(Cl)cc(Cl)c2)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000031,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]c1c(Cl)c([H])c([*:9])c([H])c1Cl
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3cccc4ccccc34)c2)n1,erk000036,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc3ccccc23)c1,erk000037,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(F)c(F)c3)c2)n1,erk000038,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccccc3C(F)(F)F)c2)n1,erk000039,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],FC(F)(F)[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2ccccc2)c1,erk000040,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000041,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3cccc(C(F)(F)F)c3)c2)n1,erk000042,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],FC(F)(F)[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc(C(F)(F)F)c2)c1,erk000043,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],FC(F)(F)[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccccc3)c2)n1,erk000045,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000046,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccccc3)c2)n1,erk000047,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)N[C@@H](CO)c3ccccc3)c2)n1,erk000048,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
O=C(NCc1ccc2c(c1)OCO2)c1cc(-c2ccnc(Nc3ccccc3)n2)c[nH]1,erk000049,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H]C([H])(O[*:2])O[*:3],[H]C([H])(O[*:2])O[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H][*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(Cl)cc3Cl)c2)n1,erk000054,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],Cl[*:2],[H][*:3],Cl[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccc(Cl)cc2Cl)c1,erk000055,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],Cl[*:2],[H][*:3],Cl[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(F)c(F)c3)c2)n1,erk000056,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
O=C(c1cc(-c2ccnc(Nc3ccccc3)n2)c[nH]1)N1CCc2ccccc2C1,erk000057,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H][*:2],[H][*:3],[H]C([H])(C([H])([H])[*:6])[*:4],[H][*:5].[H][*:5],[H]C([H])(C([H])([H])[*:6])[*:4],O=[*:7],[H][*:8],[H][*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)N3CCc4ccccc4C3)c2)n1,erk000058,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H]C([H])(C([H])([H])[*:6])[*:4],[H][*:5].[H][*:5],[H]C([H])(C([H])([H])[*:6])[*:4],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CN(Cc1ccccc1)C(=O)c1cc(-c2ccnc(Nc3ccccc3)n2)c[nH]1,erk000059,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H]C([H])([H])[*:6],O=[*:7],[H][*:8],[H][*:9]
CCNc1ncc(CC)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000060,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3cccc(C(F)(F)F)c3)c2)n1,erk000062,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],FC(F)(F)[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCc1cnc(N)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2ccccc2)c1,erk000065,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccc3c(c2)OCO3)c1,erk000066,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H]C([H])(O[*:2])O[*:3],[H]C([H])(O[*:2])O[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Nc1nccc(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000067,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H][*:9]
CCNc1nccc(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000068,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H][*:9]
CCc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc3ccccc23)c1,erk000070,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccccc2)c1,erk000103,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccc(F)c(F)c2)c1,erk000286,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2ccccc2)c1,erk000287,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccc(Cl)cc2)c1,erk000302,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],Cl[*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc(Cl)c2)c1,erk000303,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],Cl[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccc(F)c(Cl)c2)c1,erk000304,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],F[*:2],Cl[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)N[C@@H](CCO)c2ccccc2)c1,erk000305,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])C([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)N[C@H](CCO)c2ccccc2)c1,erk000306,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])C([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(NC2CCCCC2)nc1-c1c[nH]c(C(=O)NCc2ccc(F)c(F)c2)c1,erk000310,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C1([H])C([H])([H])C([H])([H])C([H])([*:10])C([H])([H])C1([H])[H].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2ccccc2F)c1,erk000311,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],F[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
COc1ccccc1CNC(=O)c1cc(-c2nc(N)ncc2C)c[nH]1,erk000312,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H]C([H])([H])O[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1cc(C(=O)NCc2ccc(F)c(Cl)c2)n(Cc2ccccc2)c1,erk000317,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],F[*:2],Cl[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H]c1c([H])c([H])c(C([H])([H])[*:8])c([H])c1[H],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1cc(C(=O)N[C@H](CO)c2ccccc2)n(Cc2ccccc2)c1,erk000319,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H]c1c([H])c([H])c(C([H])([H])[*:8])c([H])c1[H],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1cc(C(=O)NCc2ccc(F)c(F)c2)n(C)c1,erk000327,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H]C([H])([H])[*:8],[H]C([H])([H])[*:9]
CC[NH+](CC)CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(F)c(F)c3)c2)n1,erk000364,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(Nc2nc(N3CCCCC3)nc3ccccc23)nc1-c1c[nH]c(C(=O)NCc2ccccc2)c1,erk000377,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c2c([*:10])nc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc2c1[H],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(F)c(Cl)c3)c2)n1,erk000393,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],F[*:2],Cl[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)N[C@@H](CO)c3ccc(F)c(Cl)c3)c2)n1,erk000396,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],F[*:2],Cl[*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)N[C@@H](CO)c2ccc(F)c(Cl)c2)c1,erk000397,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],F[*:2],Cl[*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NCc2ccc(F)c(Cl)c2)c1,erk000398,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],F[*:2],Cl[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
O=C(N[C@H](CO)c1ccccc1)c1cc(-c2nc(Nc3ccccc3)ncc2C2CC2)c[nH]1,erk000434,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C1([H])C([H])([H])C1([H])[*:9]
Cc1ccc([C@@H](CO)NC(=O)c2cc(-c3nc(Nc4ccccc4)ncc3C)c[nH]2)cc1F,erk000435,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H]C([H])([H])[*:2],F[*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1ccc([C@@H](CO)NC(=O)c2cc(-c3nc(Nc4cccc(F)c4)ncc3C)c[nH]2)cc1F,erk000436,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c(F)c([H])c([*:10])c1[H],[H]C([H])([H])[*:2],F[*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
